,Case diameter,Dial,Code,Ref. No.,Waterproof,url,Gender,Brand,Bracelet color,Availability,Clasp,Case material,Location,Date,Price,Condition,Movement
With box,,Black,25144,,50 ATM,http://www.chrono24.com/breitling/superocean-ii-42-a17365c9bd67202s--id5000294.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",Date,"$2,960",0 (unworn),Automatic
With box,,White,25188,,20 ATM,http://www.chrono24.com/breitling/superocean-ii-36-a17312d2a775413x--id5000186.htm,,Breitling,,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",Date,"$2,972",0 (unworn),Automatic
With box,,Silver,13495,,30 ATM,http://www.chrono24.com/breitling/chronomat-41-ab014012g711-1or--id5002097.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",,"$6,408",0 (unworn),Automatic
With box,,Silver,24019,,10 ATM,http://www.chrono24.com/breitling/transocean-38-a1631012g781113x--id5001295.htm,,Breitling,Blue,Ready to ship in 3-5 days,Buckle,Steel,"United States, New York, Airmont",Date,"$4,192",0 (unworn),Automatic
With box,,Silver,14909,,10 ATM,http://www.chrono24.com/breitling/galactic-32-a71356l2g702-1cd--id5002564.htm,Ladies' watch,Breitling,Black,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",Date,"$3,288",0 (unworn),Quartz
With box,,Silver,17192,,30 ATM,http://www.chrono24.com/breitling/galactic-41-a49350l2g699-3lts--id5002949.htm,Men's watch/Unisex,Breitling,Blue,Ready to ship in 3-5 days,Buckle,Steel,"United States, New York, Airmont",Date,"$3,760",0 (unworn),Automatic
With box,,Yellow,18947,,Over 120 ATM,http://www.chrono24.com/breitling/avenger-ii-seawolf-a1733110i519-1cd--id4995318.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",Date,"$3,612",0 (unworn),Automatic
With box,,Silver,29228,,20 ATM,http://www.chrono24.com/breitling/superocean-heritage-46mm-a1732024g642256s--id5646802.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",Date,"$3,264",0 (unworn),Automatic
With box,,Silver,11859,,10 ATM,http://www.chrono24.com/breitling/galactic-32-c71356l2g704-tt--id4996931.htm,Ladies' watch,Breitling,,Ready to ship in 3-5 days,Fold clasp,Gold/Steel,"United States, New York, Airmont",Date,"$6,004",0 (unworn),Quartz
With box,,Mother of pearl,14434,,30 ATM,http://www.chrono24.com/breitling/galactic-41-a49350l2a702-1rt--id5000017.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Buckle,Steel,"United States, New York, Airmont",Date,"$4,220",0 (unworn),Automatic
With box,,Bronze,14994,,10 ATM,http://www.chrono24.com/breitling/galactic-32-c71356laq581-tt--id4992402.htm,Ladies' watch,Breitling,,Ready to ship in 3-5 days,Fold clasp,Gold/Steel,"United States, New York, Airmont",Date,"$8,600",0 (unworn),Quartz
With box,,Black,20853,,50 ATM,http://www.chrono24.com/breitling/superocean-chronograph-steelfish-44-a13341c3bd19-1or--id4992463.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",,"$4,840",0 (unworn),Automatic
With box,,Mother of pearl,29572,,50 ATM,http://www.chrono24.com/breitling/chronomat-44-ab011012g685735p--id5658685.htm,Men's watch/Unisex,Breitling,Bordeaux,Ready to ship in 3-5 days,Buckle,Steel,"United States, New York, Airmont",,"$6,928",0 (unworn),Automatic
With box,,Mother of pearl,17264,,10 ATM,http://www.chrono24.com/breitling/galactic-36-automatic-c3733053a725-3lts--id4991855.htm,,Breitling,Blue,Ready to ship in 3-5 days,Buckle,Gold/Steel,"United States, New York, Airmont",Date,"$8,980",0 (unworn),Automatic
With box,,,16376,,50 ATM,http://www.chrono24.com/breitling/chronomat-44-cb011053q576-1pro3d--id4994997.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Fold clasp,Gold/Steel,"United States, New York, Airmont",,"$13,176",0 (unworn),Automatic
With box,,Black,25175,,20 ATM,http://www.chrono24.com/breitling/superocean-ii-36-a17312c9bd91417x--id5000270.htm,,Breitling,Brown,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",Date,"$2,972",0 (unworn),Automatic
With box,,Grey,16049,,50 ATM,http://www.chrono24.com/breitling/chronomat-44-ab011012f546-1pro3t--id4992780.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Buckle,Steel,"United States, New York, Airmont",,"$6,168",0 (unworn),Automatic
With box,,Mother of pearl,15030,,10 ATM,http://www.chrono24.com/breitling/galactic-32-c71356laa712-ss--id4995478.htm,Ladies' watch,Breitling,,Ready to ship in 3-5 days,Fold clasp,Gold/Steel,"United States, New York, Airmont",Date,"$7,872",0 (unworn),Quartz
With box,,White,14645,,50 ATM,http://www.chrono24.com/breitling/chronomat-44-ib011012a696-1lt--id5001583.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Buckle,Gold/Steel,"United States, New York, Airmont",,"$7,012",0 (unworn),Automatic
With box,,Silver,13535,,50 ATM,http://www.chrono24.com/breitling/chronomat-gmt-ab041012g719-2cd--id5001964.htm,Men's watch/Unisex,Breitling,Brown,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",,"$7,488",0 (unworn),Automatic
With box,,Mother of pearl,15549,,50 ATM,http://www.chrono24.com/breitling/chronomat-44-ab011053g686-1ct--id4998560.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Buckle,Steel,"United States, New York, Airmont",,"$13,480",0 (unworn),Automatic
With box,,White,15668,,50 ATM,http://www.chrono24.com/breitling/chronomat-44-cb011012a696-1ld--id4999165.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Fold clasp,Gold/Steel,"United States, New York, Airmont",,"$8,308",0 (unworn),Automatic
With box,,Black,25140,,50 ATM,http://www.chrono24.com/breitling/superocean-ii-42-a17365c9bd67428x--id5000286.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Buckle,Steel,"United States, New York, Airmont",Date,"$2,772",0 (unworn),Automatic
With box,,Silver,16685,,10 ATM,http://www.chrono24.com/breitling/galactic-32-c71356l2g704-1ld--id4997511.htm,Ladies' watch,Breitling,Black,Ready to ship in 3-5 days,Fold clasp,Gold/Steel,"United States, New York, Airmont",Date,"$3,928",0 (unworn),Quartz
With box,,Blue,19432,,30 ATM,http://www.chrono24.com/breitling/chronomat-41-ab014012c830-1pro3t--id5000510.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Buckle,Steel,"United States, New York, Airmont",,"$6,168",0 (unworn),Automatic
With box,,Blue,14867,,50 ATM,http://www.chrono24.com/breitling/chronomat-gmt-ab041012c835-1or--id5001956.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",,"$7,176",0 (unworn),Automatic
With box,,Grey,18991,,30 ATM,http://www.chrono24.com/breitling/avenger-ii-a1338111f564-1pro3d--id4995507.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",,"$4,508",0 (unworn),Automatic
With box,,Black,10307,,50 ATM,http://www.chrono24.com/breitling/chronomat-44-ab011012m524-ss--id4995642.htm,Men's watch/Unisex,Breitling,,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",,"$7,248",0 (unworn),Automatic
With box,,Silver,16050,,50 ATM,http://www.chrono24.com/breitling/chronomat-44-ab011012g684-2ld--id4992707.htm,Men's watch/Unisex,Breitling,Brown,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",,"$6,420",0 (unworn),Automatic
With box,,Black,29592,,50 ATM,http://www.chrono24.com/breitling/chronomat-44-ab011012m524737p--id5658669.htm,Men's watch/Unisex,Breitling,,Ready to ship in 3-5 days,Buckle,Steel,"United States, New York, Airmont",,"$6,520",0 (unworn),Automatic
With box,,Black,14438,,30 ATM,http://www.chrono24.com/breitling/galactic-41-a49350l2ba07-1ld--id5000025.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",Date,"$3,960",0 (unworn),Automatic
With box,,Black,15966,,20 ATM,http://www.chrono24.com/breitling/superocean-heritage-chronograph-a2337036bb81-1pro3t--id5001544.htm,Men's watch/Unisex,Breitling,Black,Ready to ship in 3-5 days,Buckle,Steel,"United States, New York, Airmont",,"$4,496",0 (unworn),Automatic
With box,,Grey,29542,,50 ATM,http://www.chrono24.com/breitling/chronomat-44-ab011012f546433x--id5658701.htm,Men's watch/Unisex,Breitling,,Ready to ship in 3-5 days,Buckle,Steel,"United States, New York, Airmont",,"$6,220",0 (unworn),Automatic
With box,,Silver,15932,,20 ATM,http://www.chrono24.com/breitling/superocean-heritage-chronograph-a2337016g753-3pro3d--id5000643.htm,Men's watch/Unisex,Breitling,Blue,Ready to ship in 3-5 days,Fold clasp,Steel,"United States, New York, Airmont",,"$4,736",0 (unworn),Automatic
With papers,44 mm,White,31170,AB01100,,http://www.chrono24.com/breitling/stainless-steel-breitling-01--id5226632.htm,,Breitling,Steel,Available now,,Steel,"United States, Massachusetts, Boston",,"$3,800",1 (mint),Automatic
With papers,48.5 mm,Silver,132079431451,A13370,10 ATM,http://www.chrono24.com/breitling/super-avenger-diamond-dial-bezel-and-bracelet-a13370-authentic-watch--id5670294.htm,Men's watch/Unisex,Breitling,,Available now,,,"United States, New York, New York",,"$15,000",1 (mint),Automatic
With papers,44 mm,Silver,33298,AB042011/G745-375A,,http://www.chrono24.com/breitling/chronomat-44-gmt--id5424686.htm,Men's watch/Unisex,Breitling,Steel,Available now,Fold clasp,Steel,"United States, Florida, Hollywood",,"$4,995 [Negotiable]",1 (mint),Automatic
With papers,44 mm,Blue,BREI111585,CB042012/C858,,http://www.chrono24.com/breitling/chronomat-gmt-cb042012c858--id5654305.htm,Men's watch/Unisex,Breitling,,Available now,Fold clasp,Gold/Steel,"United States, Pennsylvania, Philadelphia",,"$7,950",1 (mint),Automatic
With papers,42 mm,,28757,A4139024/BB82,,http://www.chrono24.com/breitling/bentley-barnato-42-limited-edition--id4619495.htm,Men's watch/Unisex,Breitling,Steel,Available now,Fold clasp,Steel,"United States, Florida, Hollywood",,"$10,995 [Negotiable]",1 (mint),Automatic
,48 mm,Black,BR1212165X,C13341,,http://www.chrono24.com/breitling/super-avenger-ii-chronograph-a13371--id5482256.htm,Men's watch/Unisex,Breitling,Steel,Available now,Fold clasp,Steel,"United States, New York, New York",,"$4,199 [Negotiable]",1 (mint),Automatic
,40 mm,Black,25088,1765,,http://www.chrono24.com/breitling/1765-vintage-unitime-avi-24-hr-dial-ss-25088--id5689967.htm,,Breitling,,Available now,,Steel,"United States, Massachusetts, Boston",,"$13,500",1 (mint),Manual winding
With papers,43 mm,White,BREI201036,A41390AP/A754,,http://www.chrono24.com/breitling/bentley-barnato-limited-edition-a41390apa754--id4497044.htm,Men's watch/Unisex,Breitling,,Available now,Fold clasp,Steel,"United States, Pennsylvania, Philadelphia",,"$10,950",1 (mint),Automatic
With papers,,,142264987970,A13370,10 ATM,http://www.chrono24.com/breitling/super-avenger-a13370-mother-of-pearl-dial-diamond-authentic-watch--id5697902.htm,Men's watch/Unisex,Breitling,Steel,Available now,,,"United States, New York, New York",,"$14,999",1 (mint),Automatic
With box,,White,,A17380,,http://www.chrono24.com/breitling/colt-ii-chronometre-stainless-steel-white-dial--id4908733.htm,Men's watch/Unisex,Breitling,Steel,Available now,Fold clasp,Steel,"United States, Florida, Miami",,"$1,977",1 (mint),Automatic
With papers,46 mm,Bronze,,A23340,,http://www.chrono24.com/breitling/montbrilliant-steel-46mm-chronographe-a23340-w-papers--id5372670.htm,Men's watch/Unisex,Breitling,Steel,Available now,Fold clasp,Steel,"United States, California, Los Angeles",,"$4,495",1 (mint),Automatic
With papers,,,,AB0111,,http://www.chrono24.com/breitling/chronomat-gmt-special-edition--id4773245.htm,Men's watch/Unisex,Breitling,,Available now,,Steel,"United States, New York, Staten Island",,"$6,495",1 (mint),Automatic
,,,,A24322,,http://www.chrono24.com/breitling/breitling-navitimer-world-gmt-polished--id5354262.htm,,Breitling,Blue,Available now,Fold clasp,Steel,"United States, New York, new york",,"$3,650",1 (mint),Automatic
With papers,"40,9 mm",Black,300.214,IW371482,,http://www.chrono24.com/iwc/portugieser-chronograph-rosegold-incl-19--mwst--id1554558.htm,,IWC,Black,Ready to ship in 6-10 days,Buckle,Pink gold,"Germany, Stuttgart",,,0 (unworn),Automatic
With papers,43 mm,Grey,300.180,IW387804,,http://www.chrono24.com/iwc/spitfire-chronograph--incl-19-mwst--id2106286.htm,Men's watch/Unisex,IWC,Steel,Ready to ship in 6-10 days,Double-fold clasp,Steel,"Germany, Stuttgart",,,0 (unworn),Automatic
With papers,,,,IW356502,,http://www.chrono24.com/iwc/portofino-automatic--id3629143.htm,,IWC,,Ready to ship in 6-10 days,,,"United Kingdom, London",,,0 (unworn),
With papers,,,,IW356516,,http://www.chrono24.com/iwc/portofino-automatic--id3630808.htm,,IWC,,Ready to ship in 6-10 days,,,"United Kingdom, London",,,0 (unworn),
With papers,43 mm,Silver,40.081,IW510204,,http://www.chrono24.com/iwc/portuguese-hand-wound-eight-days-incl-19--mwst--id3588141.htm,Men's watch/Unisex,IWC,Brown,Ready to ship in 6-10 days,Double-fold clasp,Red gold,"Germany, Stuttgart",Date,,0 (unworn),Manual winding
With papers,,,,IW515103,,http://www.chrono24.com/iwc/portofino-monopusher--id3120304.htm,,IWC,,Ready to ship in 6-10 days,,,"United Kingdom, London",,,0 (unworn),
With papers,,,,,,http://www.chrono24.com/iwc/portuguese-automatic-iw500114--id5456256.htm,Men's watch/Unisex,IWC,,Available now,,Steel,"Hong Kong SAR, Tsim Sha Tsui, Kowloon",,,0 (unworn),Automatic
,36 mm,,c715,,,http://www.chrono24.com/iwc/super-rare-blue-dialed-iwc-automatic-watch-automatik--id4475620.htm,Men's watch/Unisex,IWC,,Available now,,Steel,"Germany, Vienna / Austria / Europe",,,1 (mint),Automatic
With papers,,,,,,http://www.chrono24.com/iwc/shaffausen-eletronic--id4611894.htm,Men's watch/Unisex,IWC,,Available now,,Steel,"Italy, Parma",,,1 (mint),Automatic
,36 mm,Black,,3740,,http://www.chrono24.com/iwc/der-fliegerchronograph--id5629459.htm,Men's watch/Unisex,IWC,Black,Available now,Buckle,Steel,"Spain, L'Hospitalet",,,1 (mint),Quartz
With papers,42 mm,Black,0940,IW3725,,http://www.chrono24.com/iwc/ingenieur-refiw3725--id5049316.htm,,IWC,Steel,Available now,Fold clasp,Steel,"Germany, Köln",,,1 (mint),Automatic
,48 mm,White,3462,363736,,http://www.chrono24.com/iwc/pocket-watch-iwc-taschenuhr-14karat-gelbgold---bj-1910---aaw--id4579767.htm,Men's watch/Unisex,IWC,,Available now,,Yellow gold,"Germany, Frankfurt am Main",,,1 (mint),Manual winding
,55 mm,,180,,,http://www.chrono24.com/iwc/pocket-watch-montre-de-poche---neuve-de-stock--id4502975.htm,Men's watch/Unisex,IWC,,Available now,,Yellow gold,"France, PARIS",,,1 (mint),Manual winding
With papers,43 mm,Blue,WCR1389,IW377706 - IWC Petit Prince Edition Pilot Chronograph,6 ATM,http://www.chrono24.com/iwc/iwc-pilot-petit-prince-edition-chrono-3777--id2928151.htm,,IWC,Brown,Available now,Buckle,Steel,"Italy, VI - VICENZA",,,0 (unworn),Automatic
With papers,46 mm,Black,,3778,,http://www.chrono24.com/iwc/fliegeruhr-doppel-chronograph--id5707100.htm,Men's watch/Unisex,IWC,Black,Available now,,Steel,"Spain, Marbella",,,1 (mint),Automatic
With papers,44 mm,Black,,IW376804,,http://www.chrono24.com/iwc/aquatimer-chrono-44mm--id4340463.htm,Men's watch/Unisex,IWC,Black,Available now,Fold clasp,Steel,"Italy, Caldiero (Verona)",,,0 (unworn),Automatic
,34 mm,,c720,3305,,http://www.chrono24.com/iwc/genuine-iwc-ingenieur-quarz-quartz-with-iwc-buckle--id4475634.htm,Men's watch/Unisex,IWC,,Available now,,Steel,"Germany, Vienna / Austria / Europe",,,1 (mint),Quartz
,36 mm,,,,,http://www.chrono24.com/iwc/iwc-vintage--id3461801.htm,,IWC,,Available now,,Pink gold,"Italy, Roma",,,2 (fine),Manual winding
With box,29 mm,White,162879,3735,,http://www.chrono24.com/iwc/lady-18k-0750-gold-da-vinci-mondphase-chronograph-damenuhr-ref-3735-162879--id5402300.htm,Ladies' watch,IWC,Black,Available now,Buckle,,"Germany, Chemnitz",,,,Quartz
With papers,37 mm,Black,,IW458102,3 ATM,http://www.chrono24.com/iwc/portofino-midsize-automatik-edelstahl--id3484916.htm,Men's watch/Unisex,IWC,,Available now,Buckle,Steel,"Germany, Gelsenkirchen",Date,,0 (unworn),Automatic
With papers,46 mm,Black,,IW379901,,http://www.chrono24.com/iwc/top-gun-ceramic-pilot-double-chronogrph-2007-box--papers--id5058629.htm,Men's watch/Unisex,IWC,Black,Available now,Buckle,Ceramic,"United Kingdom, Essex",,,1 (mint),Automatic
With papers,,,,3531,,http://www.chrono24.com/iwc/small-portuguese--id4809886.htm,Men's watch/Unisex,IWC,,Available now,,Pink gold,"Portugal, Lisboa",,,1 (mint),Automatic
With papers,,,W270,Large case,,http://www.chrono24.com/iwc/18k-gold-vintage--id5537775.htm,Men's watch/Unisex,IWC,,Available now,,Yellow gold,"United Kingdom, London",,,2 (fine),Manual winding
With papers,55 mm,,1929,,,http://www.chrono24.com/iwc/pocket-watch-savonette-taschenuhr-schweiz--id1819210.htm,,IWC,,Available now,,,"Germany, Mainz",,,1 (mint),
With papers,44 mm,Black,,IW325401,6 ATM,http://www.chrono24.com/iwc/vintage-pilots-iw325401--id4123451.htm,Men's watch/Unisex,IWC,Brown,Available now,Jewelry clasp,Steel,"Spain, Madrid",,,0 (unworn),Manual winding
With papers,44 mm,Black,5515,IW37670,10 ATM,http://www.chrono24.com/iwc/aquatimer--id5454135.htm,Men's watch/Unisex,IWC,Black,Available now,Buckle,Steel,"Spain, Madrid",,,1 (mint),Automatic
,42 mm,,,,,http://www.chrono24.com/iwc/edison-electronic--id4473858.htm,Men's watch/Unisex,IWC,,Available now,,Steel,"Italy, Napoli",,price on request,2 (fine),Quartz
,35 mm,,,Vintage,,http://www.chrono24.com/iwc/automatik-vintage-cal-85--id5672891.htm,Men's watch/Unisex,IWC,,Available now,,Steel,"Germany, Oldenburg",,,2 (fine),Automatic
With box,40 mm,White,4.6355,IW323904,10 ATM,http://www.chrono24.com/iwc/ingenieur--id5470877.htm,Men's watch/Unisex,IWC,Steel,Available now,Double-fold clasp,Steel,"France, LYON",Date,,1 (mint),Automatic
With papers,32 x 22 mm,Champagne,,,Not Waterproof,http://www.chrono24.com/iwc/14-kt-gelbgold-branchard-1936--id3615096.htm,Men's watch/Unisex,IWC,Green,Available now,Buckle,Yellow gold,Germany,,,1 (mint),Manual winding
With box,,Black,2273,IW3717,,http://www.chrono24.com/iwc/chrono-aviateur-auto--id5333101.htm,Men's watch/Unisex,IWC,,Available now,Buckle,Steel,"France, Dijon",,,1 (mint),Automatic
With papers,,,2568,IW326201,,http://www.chrono24.com/iwc/pilots-worldtimer--id4540618.htm,Men's watch/Unisex,IWC,,Available now,,Steel,"Sweden, Malmo",,,1 (mint),Automatic
With papers,,,,500203,,http://www.chrono24.com/iwc/big-pilot--id5034140.htm,,IWC,,Available now,,Platinum,"Switzerland, 8001",,price on request,1 (mint),Automatic
With papers,39 mm,,,IW370603,,http://www.chrono24.com/iwc/flieger-chronograph--id4901053.htm,Men's watch/Unisex,IWC,,Available now,,Steel,"Italy, Bologna",,,1 (mint),Automatic
With papers,39 mm,Black,1004,IW3251,,http://www.chrono24.com/iwc/fliegeruhr-utc-tzc-refiw3251--id5277339.htm,,IWC,Brown,Available now,Buckle,Steel,"Germany, Köln",Date,,1 (mint),Automatic
With box,42 mm,,161759,3717,,http://www.chrono24.com/iwc/fliegeruhr-day-date-saint-exupery-chronograph-automatik-limitiert-ref-3717-161759--id4824992.htm,Men's watch/Unisex,IWC,Black,Available now,Buckle,Steel,"Germany, Chemnitz",,,,Automatic
With papers,42 mm,Black,,IW371701,60 ATM,http://www.chrono24.com/iwc/fliegeruhr-pilots-chronograph-automatic-watch--id5618987.htm,Men's watch/Unisex,IWC,,Available now,Buckle,Steel,"United Kingdom, London",,,1 (mint),Automatic
With papers,41 mm,Black,,326501,6 ATM,http://www.chrono24.com/iwc/iwc-mark-xvii--id5275943.htm,,IWC,Black,Available now,Buckle,Steel,"Switzerland, St.Margarethen",Date,,0 (unworn),Automatic
With papers,44 mm,Black,,545404,3 ATM,http://www.chrono24.com/iwc/portugieser-and-steel-ref545404--id2678345.htm,Men's watch/Unisex,IWC,Black,Available now,Buckle,Steel,"Portugal, Lisboa",,,0 (unworn),Manual winding
With papers,,,,3714,,http://www.chrono24.com/iwc/portroghese-3714-anno-2005--id5615746.htm,Men's watch/Unisex,IWC,,Available now,,Steel,"Italy, Fornacette (PI)",,,1 (mint),Automatic
,,,,3714,,http://www.chrono24.com/iwc/portoghese-chronograph--id5613192.htm,Men's watch/Unisex,IWC,,Available now,,Steel,"Italy, Roma",,,1 (mint),Automatic
With papers,37 mm,Grey,,458102,3 ATM,http://www.chrono24.com/iwc/portofino-portofino-midsize-aut--id3141521.htm,,IWC,Grey,Available now,Buckle,Steel,"Switzerland, St.Margarethen",Date,,0 (unworn),Automatic
With box,41 mm,,3714_531,3714,,http://www.chrono24.com/iwc/portugieser-chronograph-3714--stahl-leder--id5462434.htm,,IWC,,Available now,Buckle,Steel,"Germany, Pfungstadt",,,1 (mint),Automatic
With papers,43 mm,Black,Artikel-Nr. 55652,IW32340,,http://www.chrono24.com/iwc/ingenieur--id4648935.htm,Men's watch/Unisex,IWC,Black,Available now,Buckle,Steel,"Germany, Heilbronn",Date,,1 (mint),Automatic
With papers,,,,IW378201,,http://www.chrono24.com/iwc/aquatimer-jaques-cousteau-limitiert--id3809605.htm,Men's watch/Unisex,IWC,Blue,Available now,Buckle,Steel,Germany,,,0 (unworn),Automatic
With papers,43 mm,,,IW5442,3 ATM,http://www.chrono24.com/iwc/portuguese-f-a-jones-iw5442--id5642139.htm,Men's watch/Unisex,IWC,Black,Available now,Jewelry clasp,Steel,"Spain, Barcelona",,,1 (mint),Manual winding
With papers,40 mm,,308,IW356501,,http://www.chrono24.com/iwc/portofino-automatic--id4629272.htm,Men's watch/Unisex,IWC,,Available now,,,"United Kingdom, Macclesfield",,,0 (unworn),Automatic
With papers,"40,9 mm",Black,,371447,,http://www.chrono24.com/iwc/portugieser-chronograph-zb-schwarz-mwst-ausweisbar--id4538110.htm,,IWC,,Available now,,Steel,"Germany, Reutlingen",,,0 (unworn),Automatic
With papers,,,,iwc 370603,,http://www.chrono24.com/iwc/fliegerchronograph--id2168096.htm,Men's watch/Unisex,IWC,Black,Available now,Fold clasp,Steel,Germany,,,2 (fine),Automatic
,36.5 mm,Silver,122314539731,R 841,,http://www.chrono24.com/iwc/vintage-mens-automatic-watch-ref-1814-from-1968-cal-8541-pillow-case1938--id5622903.htm,Men's watch/Unisex,IWC,,Available now,,Steel,"Switzerland, Zürich",,"$1,750",1 (mint),Automatic
,34 mm,White,,2401,,http://www.chrono24.com/iwc/vintage-portofino-automatic-cal-443--443-1971-serviced--id5557140.htm,Men's watch/Unisex,IWC,Black,Available now,Buckle,Steel,"Netherlands, Rotterdam",,,1 (mint),Automatic
With papers,41 mm,Black,201601299679,XVII IW326501 2016 NEU,6 ATM,http://www.chrono24.com/iwc/fliegeruhr-mark-xvii-iw326501-2016-neu--id5487569.htm,,IWC,Black,Available now,Buckle,Steel,"Germany, Rheda-Wiedenbrück",Date,,1 (mint),Automatic
With papers,40 mm,Silver,,IW327002,6 ATM,http://www.chrono24.com/iwc/pilots-watch-mark-xviii---iw3270--id4534877.htm,Men's watch/Unisex,IWC,Black,Available now,Buckle,Steel,"Switzerland, Capolago",Date,,0 (unworn),Automatic
With papers,40 mm,White,,IW327002,6 ATM,http://www.chrono24.com/iwc/iwc-pilots-watch-mark-xviii--id5029341.htm,,IWC,Black,Available now,,Steel,"Italy, Roma",Date,,0 (unworn),Automatic
With papers,45 mm,Black,107922,IW326201,6 ATM,http://www.chrono24.com/iwc/pilots-watch-worldtimer--id4470739.htm,Men's watch/Unisex,IWC,Black,Available now,Fold clasp,Steel,"Belgium, Waregem",,,0 (unworn),Automatic
With box,34 mm,Silver,3942,ref. 376,,http://www.chrono24.com/iwc/376-dress-watch-gold-vintage--id5606328.htm,,IWC,Brown,Available now,Buckle,Yellow gold,"Netherlands, Amsterdam",,,2 (fine),Manual winding
,,,,Cal. 83,,http://www.chrono24.com/iwc/iwc-international-watch--co-schaffhausen-cal-83-35mm--id3551999.htm,,IWC,,Available now,,Steel,"Italy, Rassina",,,1 (mint),Manual winding
With papers,42 mm,Black,,IW329001,30 ATM,http://www.chrono24.com/iwc/mens-iw329001-aquatimer-automatic-watch--id5609380.htm,Men's watch/Unisex,IWC,Black,Available now,Buckle,Steel,"Switzerland, Bäch",Date,,0 (unworn),Automatic
With papers,42 mm,White,,IW329004,10 ATM,http://www.chrono24.com/iwc/aquatimer-automatik--id5459636.htm,,IWC,Steel,Available now,Fold clasp,Steel,"Germany, Iffezheim",,,1 (mint),Automatic
With box,31 mm,Silver,3915,,,http://www.chrono24.com/iwc/iwc-handaufzug-kaliber-88--id3013573.htm,Men's watch/Unisex,IWC,Brown,Available now,,Steel,"Germany, Teuschnitz",,,1 (mint),Manual winding
,40 mm,Black,,,Not Waterproof,http://www.chrono24.com/iwc/porsche-design-day-date-titan--chrono--id5334932.htm,Men's watch/Unisex,IWC,Black,Available now,Fold clasp,,"Germany, Koblenz",,,2 (fine),Automatic
With papers,29 mm,White,,3730,3 ATM,http://www.chrono24.com/iwc/r3730-portofino-lady-chronograph-18k-yg-iwc-full-set-mint--id3271802.htm,Ladies' watch,IWC,Brown,Available now,Buckle,Yellow gold,Germany,,,1 (mint),Quartz
,"ca 38,5mm mm",Champagne,,,,http://www.chrono24.com/iwc/yacht-club-2-jumbo--id4873321.htm,,IWC,,Available now,,Steel,"Germany, Siegburg",,,2 (fine),Quartz
With papers,26 x 30 mm,Black,,,,http://www.chrono24.com/iwc/ingenieur-goldsteel--id4389968.htm,Ladies' watch,IWC,,Available now,,Gold/Steel,Netherlands,,,1 (mint),Quartz
With papers,,,,3508,,http://www.chrono24.com/iwc/ingenieur-vintage-500000-am--id5717492.htm,Men's watch/Unisex,IWC,,Available now,,Steel,"Italy, MILANO",,,1 (mint),Automatic
With papers,44 mm,,,IW3568–10,Over 120 ATM,http://www.chrono24.com/iwc/aquatimer-2000m--id5606873.htm,,IWC,Black,Available now,Buckle,Steel,"Hungary, Budapest",,,1 (mint),Automatic
,34 mm,Black,2144,3506,3 ATM,http://www.chrono24.com/iwc/ingenieur-sl-ref-3506-edelstahl-34mm---aaw--id4579777.htm,Men's watch/Unisex,IWC,,Available now,Fold clasp,Steel,"Germany, Frankfurt am Main",Date,,1 (mint),Automatic
New,33 mm,,,IW3336,,http://www.chrono24.com/iwc/porsche-design-nos--id3896416.htm,Men's watch/Unisex,IWC,,Available now,Fold clasp,Titanium,"Italy, Brescia",,,0 (unworn),Automatic
,34 mm,White,,IW3513,,http://www.chrono24.com/iwc/portofino-34mm-date-white-dial-iw3513-automatic--id5252296.htm,Men's watch/Unisex,IWC,Brown,Available now,Buckle,Steel,"Greece, Athens",Date,,1 (mint),Automatic
